 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,48,114,16.4853,199.5685
2,55,93,7.2426,36.0711
3,62,86,24.3848,0
4,97,90,22.7279,0
5,92,122,18.8995,0
6,80,100,8.0711,0
7,84,95,6.6569,0
8,74,121,15.8995,0
9,87,151,5.2426,0
10,95,111,4.2426,0
11,111,125,15.5563,0
12,111,168,12.2426,0
13,146,109,31.9706,0
14,183,89,45.1127,0
15,158,127,10.0711,0
16,162,117,2.4142,0
17,162,138,5,0
18,162,147,21.0711,0
19,175,154,15.4853,0
20,181,142,13.8995,0
21,185,145,11.0711,0
22,200,144,9.0711,0
23,185,145,7.8929,0
24,181,142,5.2426,0
25,191,140,2.4142,0
26,192,131,9.6569,0
27,286,32,13.6569,0
28,291,29,14.4853,0
29,314,55,9,0
