 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,111,196,5.2426,245.9533
2,126,176,10.6569,0
3,114,173,8.8284,0
4,127,168,6.2426,0
5,124,161,4,0
6,135,138,4.2426,0
7,139,219,38.0416,0
8,145,187,5.6569,0
9,156,104,18.1421,0
10,156,210,4.4142,0
11,179,197,4.2426,0
12,176,191,3,0
13,175,196,2.4142,0
14,183,95,17.6569,0
15,183,115,4.8284,0
16,179,111,2,0
17,188,119,6.6569,0
18,192,197,2.4142,0
19,195,137,4.2426,0
20,202,129,12.8995,0
21,206,161,7.4142,0
22,206,167,5.2426,0
23,207,176,5.2426,0
