 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,3,126,14.2426,44.1421
2,20,135,6.2426,275.066
3,43,239,8.4142,163.6274
4,55,243,3,0
5,71,222,7.6569,0
6,63,211,6.6569,0
7,72,216,5.8284,0
8,63,228,7.6569,0
9,67,240,3.4142,0
10,75,242,5.4142,0
11,78,226,2.4142,0
12,85,255,1.4142,0
13,101,275,7,0
14,112,202,4,0
15,122,171,4.8284,0
16,124,310,6.2426,0
17,125,200,5.2426,0
18,129,198,10.2426,0
19,132,182,15.6569,0
20,138,300,6.2426,0
21,139,217,6.2426,0
22,150,208,6.8284,0
23,154,290,10.2426,0
24,167,258,5.2426,0
25,172,227,6.6569,0
26,173,243,6.2426,0
27,176,220,14.6569,0
28,194,242,10.8995,0
29,181,230,7.6569,0
30,181,238,6.8284,0
31,182,301,3.4142,0
32,187,205,12.6569,0
33,191,200,9.0711,0
34,193,218,12.8284,0
35,204,193,3.8284,0
36,215,186,19.3848,0
37,222,191,6.8284,0
38,223,107,4.8284,0
39,241,178,27.1421,0
40,240,201,24.2426,0
41,242,82,9.8284,0
42,244,53,6.8284,0
43,248,57,9.6569,0
44,265,141,17.0711,0
45,265,160,2.8284,0
46,269,202,4.8284,0
47,270,94,8.2426,0
48,272,185,4,0
