 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,139,128,7.8284,168.598
2,153,158,10.0711,0
3,154,219,9.8284,0
4,155,128,6.4142,0
5,159,139,43.6274,0
6,173,150,29.7279,0
7,162,133,5.2426,0
8,175,230,6.4142,0
9,199,218,19.1421,0
10,195,217,4.4142,0
11,149,146,16.3137,0
