 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,0,187,2,13.8284
2,0,195,2,96.0416
3,0,279,3,16.8284
4,4,115,12.6569,54.3137
5,5,69,5.8284,51.7279
6,5,291,6.8284,61.1421
7,9,201,17.8995,210.2548
8,10,57,1,0
9,14,142,5.4142,0
10,16,280,6.8284,0
11,17,188,4.4142,0
12,17,318,3.8284,0
13,23,233,4,0
14,36,295,2,0
15,42,206,23.4853,0
16,43,109,6.2426,0
17,46,275,2.4142,0
18,47,169,9.6569,0
19,48,139,14.6569,0
20,50,60,6.4142,0
21,58,194,4.4142,0
22,70,164,3.4142,0
23,72,133,9.6569,0
24,91,9,12.6569,0
25,108,16,8,0
26,108,8,7.2426,0
27,115,16,5.4142,0
28,117,8,4.8284,0
29,107,7,1.4142,0
30,112,98,2,0
31,130,89,10.4142,0
32,136,64,5.4142,0
33,138,49,1,0
34,145,75,9.2426,0
