 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,55,151,30.0711,150.9411
2,92,160,10.6569,351.7939
3,93,155,10.4142,0
4,102,169,10.4142,0
5,107,170,5.4142,0
6,119,182,7.8284,0
7,130,176,2,0
8,181,132,19.1421,0
9,155,146,13.4853,0
10,162,151,10.0711,0
11,175,146,6.6569,0
12,166,142,6.2426,0
13,158,157,4.4142,0
14,167,106,22.3137,0
15,177,75,20.7279,0
16,178,141,7.8284,0
17,185,71,12.2426,0
18,199,211,14.1421,0
19,214,215,39.9706,0
20,219,46,7.8284,0
21,221,57,6.2426,0
22,215,57,4.8284,0
23,239,208,13.2426,0
