set  ,IOU          ,DICE        ,PRECISION   ,RECALL      ,F1          ,MSE         ,Filo # difference ,Filo # abs difference ,Filo len difference ,Filo len abs difference ,Single filo # diff ,Single filo # abs diff ,Fused filo # diff ,Fused filo # abs diff
test ,0.418 ± 0.21 ,0.55 ± 0.26 ,0.67 ± 0.19 ,0.61 ± 0.30 ,0.55 ± 0.26 ,0.14 ± 0.35 ,1.25 ± 4.81       ,3.33 ± 3.69           ,11.88 ± 60.85       ,38.16 ± 48.86           ,1.92 ± 4.45        ,2.95 ± 3.85            ,0.02 ± 0.49       ,0.16 ± 0.47
val  ,0.5 ± 0.06   ,0.66 ± 0.05 ,0.73 ± 0.05 ,0.63 ± 0.07 ,0.66 ± 0.05 ,0.02 ± 0.01 ,-5.84 ± 4.89      ,8.36 ± 3.49           ,-96.32 ± 69.03      ,125.72 ± 53.06          ,1.94 ± 2.76        ,5.06 ± 2.11            ,-1.28 ± 1.37      ,1.72 ± 1.06
