tool           ,IOU                                       ,PRECISION                                ,RECALL                                    ,F1                                       ,Filo # difference                        ,Filo # abs difference                   ,Filo len difference                     ,Filo len abs difference                 ,Single filo # diff                      ,Single filo # abs diff                  ,Fused filo # diff                        ,Fused filo # abs diff
FiloDetect     ,0.15507523608415558 ± 0.11897872689437461 ,0.4966425497429718 ± 0.29883302437801845 ,0.2528470007622557 ± 0.210325971257173    ,0.2560193355948349 ± 0.1752038549997052  ,-0.4444444444444444 ± 16.220091184228632 ,10.533333333333333 ± 12.342519101778931 ,-145.7111111111111 ± 386.90794898483836 ,215.04444444444445 ± 353.1081644517288  ,-2.4444444444444446 ± 7.157142681128041 ,5.511111111111111 ± 5.179541902619155   ,0.5111111111111111 ± 2.2766663955316795  ,1.2666666666666666 ± 1.9595917942265426
FiloQuant      ,0.1772300501346362 ± 0.13690361266589168  ,0.5366099064294023 ± 0.273612146374483   ,0.2571423682006028 ± 0.19771366076961747  ,0.2786255994275644 ± 0.19429786662792783 ,-3.2444444444444445 ± 21.508815304485488 ,12.666666666666666 ± 17.68363964547771  ,-163.04444444444445 ± 409.7465859422846 ,214.42222222222222 ± 385.3555062184002  ,9.822222222222223 ± 13.204862553685608  ,12.177777777777777 ± 11.070057490343316 ,-0.5333333333333333 ± 2.445858177045885  ,1.1555555555555554 ± 2.220666121840777
Filopodyan     ,0.13726956360652143 ± 0.10640519139292613 ,0.3521639686337163 ± 0.30092068103402053 ,0.33869465554877964 ± 0.25859321207259833 ,0.23676888514961905 ± 0.1586257823117431 ,-8.444444444444445 ± 20.634981684891372  ,12.177777777777777 ± 18.676531784733825 ,-153.46666666666667 ± 368.2696837916475 ,210.26666666666668 ± 339.06121374564015 ,-3.1777777777777776 ± 9.691436973807546 ,6.555555555555555 ± 7.813252432901865   ,-0.7111111111111111 ± 2.2072831185491584 ,1.1111111111111112 ± 2.0354876262319084
FiloAnalyzer   ,0.2282393704391369 ± 0.15569792894958343  ,0.4790871426377573 ± 0.2891778900468239  ,0.41972871838415815 ± 0.2615927525802995  ,0.35302593556894724 ± 0.206407053605309  ,8.488888888888889 ± 17.784665332461397   ,14.0 ± 13.8692305322089                 ,-87.13333333333334 ± 297.6931007299669  ,155.84444444444443 ± 268.190061590288   ,10.0 ± 18.990055877280145               ,12.577777777777778 ± 17.390276834917312 ,0.15555555555555556 ± 1.7378857596459691 ,0.9111111111111111 ± 1.4880594704696182
FiloAnalyzerDL ,0.513 ± 0.114                             ,0.755 ± 0.111                            ,0.637 ± 0.158                             ,0.671 ± 0.106                            ,-5.413 ± 12.842                          ,7.147 ± 11.971                          ,-91.876 ± 201.329                       ,102.746 ± 196.05                        ,1.004 ± 6.677                           ,4.009 ± 5.434                           ,-0.507 ± 1.785                           ,0.907 ± 1.619                           ,
