model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
unet++ resnet18 jaccard
fold 2,  0.47749586015822515 ± 0.05510018041057982 , 0.6444859294454366 ± 0.05022571599003316 , 0.6826310352941922 ± 0.04105930976478548 , 0.6180923831814331 ± 0.08604908378349323 , 0.6444859294454364 ± 0.05022571599003312 , 0.018935546 ± 0.0074925115 , -8.0 ± 7.9498427657407165 , 9.2 ± 6.523802572120037 , -110.8 ± 112.72160396303806 , 110.8 ± 112.72160396303806 , -1.0 ± 4.604345773288535 , 3.8 ± 2.785677655436824 , -1.4 ± 1.3564659966250538 , 1.4 ± 1.3564659966250538
fold 3,  0.509446760220294 ± 0.14479779121698147 , 0.6609466414247376 ± 0.1468032059030043 , 0.6981923672077835 ± 0.07286596779348492 , 0.6469842507484536 ± 0.1875051310713479 , 0.6609466414247377 ± 0.14680320590300433 , 0.027482424 ± 0.02210746 , -23.4 ± 24.64629789643873 , 23.4 ± 24.64629789643873 , -377.4 ± 317.6442034730053 , 377.4 ± 317.6442034730053 , -2.0 ± 2.756809750418044 , 2.8 ± 1.9390719429665317 , -3.8 ± 4.261455150532504 , 3.8 ± 4.261455150532504
fold 4,  0.41299637825848795 ± 0.1333265197329699 , 0.5713775898025821 ± 0.14012812318766127 , 0.6259863761771438 ± 0.06397825351517095 , 0.5521594264791989 ± 0.19142777656055723 , 0.571377589802582 ± 0.14012812318766124 , 0.027937498 ± 0.0077079493 , -7.8 ± 9.907572861200668 , 10.6 ± 6.829348431585549 , -246.6 ± 101.47236076883202 , 246.6 ± 101.47236076883202 , 0.4 ± 11.056219968868204 , 8.4 ± 7.2 , -1.0 ± 1.0954451150103321 , 1.0 ± 1.0954451150103321
fold 5,  0.43398547889158207 ± 0.07520549609566164 , 0.6014011620409792 ± 0.0742020480156685 , 0.7347480519876239 ± 0.03472904831889509 , 0.5182423707421708 ± 0.10311621074539763 , 0.6014011620409792 ± 0.07420204801566847 , 0.022085939 ± 0.009985258 , -8.8 ± 7.704544113703289 , 8.8 ± 7.704544113703289 , -235.6 ± 170.415492253492 , 235.6 ± 170.415492253492 , 0.0 ± 1.8973665961010275 , 1.6 ± 1.019803902718557 , -0.8 ± 0.7483314773547883 , 0.8 ± 0.7483314773547883
fold 6,  0.39674281122915456 ± 0.14348995323851327 , 0.5512778434351249 ± 0.16436049241995968 , 0.6941930434622856 ± 0.09054340787263336 , 0.5009966959817012 ± 0.18823799251304021 , 0.5512778434351251 ± 0.1643604924199597 , 0.008884765 ± 0.0041264887 , -5.8 ± 4.4 , 5.8 ± 4.4 , -58.6 ± 27.295420861382592 , 58.6 ± 27.295420861382592 , -4.6 ± 5.0039984012787215 , 5.8 ± 3.54400902933387 , 0.2 ± 0.4 , 0.2 ± 0.4
fold 7,  0.3768425902371487 ± 0.06866455833385438 , 0.5437505498302244 ± 0.07324287795450399 , 0.6384419975953213 ± 0.13057818776471064 , 0.49417829255183043 ± 0.0990391473290594 , 0.5437505498302244 ± 0.07324287795450403 , 0.021119142 ± 0.014661516 , -13.0 ± 6.48074069840786 , 13.0 ± 6.48074069840786 , -239.2 ± 234.260026466318 , 239.2 ± 234.260026466318 , -2.6 ± 9.478396488858229 , 7.8 ± 5.979966555090421 , -0.6 ± 0.48989794855663565 , 0.6 ± 0.48989794855663565
fold 8,  0.46818431906516833 ± 0.05405731613053444 , 0.6359912779973363 ± 0.04841848511423966 , 0.7745355901000492 ± 0.07855866668341561 , 0.545315334776749 ± 0.06083462266797461 , 0.6359912779973362 ± 0.04841848511423968 , 0.008523437 ± 0.0035331508 , -9.2 ± 1.7204650534085253 , 9.2 ± 1.7204650534085253 , -78.6 ± 23.913176284216195 , 78.6 ± 23.913176284216195 , -2.8 ± 2.9257477676655586 , 3.2 ± 2.4819347291981715 , -1.4 ± 1.019803902718557 , 1.4 ± 1.019803902718557
fold 9,  0.45868593773271327 ± 0.050481589477734304 , 0.627273144655011 ± 0.04710284141733008 , 0.6653489239926532 ± 0.05910896274333805 , 0.599488913436177 ± 0.0686070406515937 , 0.6272731446550109 ± 0.04710284141733 , 0.0077285157 ± 0.002632495 , -8.4 ± 4.2708313008125245 , 8.4 ± 4.2708313008125245 , -72.0 ± 41.626914370392626 , 72.0 ± 41.626914370392626 , -2.8 ± 5.15363949069005 , 4.8 ± 3.3704599092705436 , -0.8 ± 0.7483314773547883 , 0.8 ± 0.7483314773547883
fold 10,  0.4447050029307458 ± 0.0761349071932146 , 0.6119980468570724 ± 0.06905424933014216 , 0.6852244393228935 ± 0.07483787753650806 , 0.5673107271108245 ± 0.10613189404719638 , 0.6119980468570724 ± 0.06905424933014216 , 0.013929686 ± 0.007456164 , -12.6 ± 13.879481258317979 , 16.6 ± 8.708616422830897 , -151.8 ± 99.602008011887 , 156.2 ± 92.54923014266515 , 3.8 ± 6.764613810115105 , 7.4 ± 2.33238075793812 , -2.8 ± 3.3105890714493698 , 2.8 ± 3.3105890714493698
unet++ resnet50 jaccard
