model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
fold 3,0.6047802321548452 ± 0.09965739306687377,0.748550824250987 ± 0.083380508675801,0.7939610001470593 ± 0.08276732900239474,0.7179593116526701 ± 0.11488140978430977,0.748550824250987 ± 0.08338050867580103,0.020978514 ± 0.016939748,-13.6 ± 17.738094598913378,15.2 ± 16.387800340497197,-219.4 ± 151.8217375740378,219.4 ± 151.8217375740378,0.6 ± 3.555277766926235,3.0 ± 2.0,-2.8 ± 2.1354156504062622,2.8 ± 2.1354156504062622
fold 4,0.4695250762792297 ± 0.10456255014791221,0.6318987815548386 ± 0.1002328011879973,0.6543156546136866 ± 0.09159280939818103,0.6171314421992171 ± 0.1230480507290974,0.6318987815548386 ± 0.10023280118799731,0.02515625 ± 0.006023011,-5.2 ± 11.160645142642965,11.2 ± 5.114684741017769,-179.8 ± 143.0879449848938,183.0 ± 138.97193961372201,-0.8 ± 7.386474125047755,6.4 ± 3.7735924528226414,-0.4 ± 1.4966629547095767,1.2 ± 0.9797958971132713
fold 5,0.5444810714509509 ± 0.03646934179637693,0.7043496638521869 ± 0.030371137287300502,0.7277322156877924 ± 0.03829418733531981,0.6881855229258631 ± 0.06383190680636658,0.7043496638521869 ± 0.03037113728730044,0.018742187 ± 0.0075908275,3.6 ± 5.122499389946279,4.4 ± 4.454211490264018,27.6 ± 120.0076664217749,111.2 ± 52.897636998262975,6.8 ± 4.354308211415448,6.8 ± 4.354308211415448,0.0 ± 0.8944271909999159,0.8 ± 0.4000000000000001
fold 6,0.41226429980763396 ± 0.1777510867007691,0.5607550477865111 ± 0.185088455285678,0.8185819260562643 ± 0.12292724024346759,0.46468255822147225 ± 0.19537219282861454,0.5607550477865109 ± 0.18508845528567797,0.00794336 ± 0.0040465603,-4.8 ± 5.635601121442148,6.4 ± 3.7202150475476548,-74.0 ± 40.79705871751051,74.0 ± 40.79705871751051,-2.4 ± 4.363484845854286,4.0 ± 2.9664793948382653,-0.8 ± 0.7483314773547883,0.8 ± 0.7483314773547883
fold 7,0.49896515593965224 ± 0.09259462600685732,0.6604884228164494 ± 0.08526793625413799,0.6662566346801327 ± 0.1521830993670348,0.6820015570296211 ± 0.04977177772026406,0.6604884228164494 ± 0.08526793625413792,0.017980468 ± 0.01095937,-5.2 ± 8.423775875461075,6.8 ± 7.194442299441979,-54.0 ± 185.1604709434495,165.6 ± 98.87891585166172,-1.0 ± 9.633275663033837,8.2 ± 5.1536394906900505,1.2 ± 0.9797958971132712,1.2 ± 0.9797958971132712
fold 8,0.5198867624111112 ± 0.058226521124300955,0.6821803280112245 ± 0.05047716296843959,0.7966877789772172 ± 0.10353198761127204,0.6030604092913491 ± 0.047251549075515514,0.6821803280112245 ± 0.0504771629684396,0.007898437 ± 0.003924097,-6.4 ± 2.0591260281974,6.4 ± 2.0591260281974,-55.6 ± 15.602563891873668,55.6 ± 15.602563891873668,-0.6 ± 3.8262252939417984,3.4 ± 1.854723699099141,-1.0 ± 0.6324555320336759,1.0 ± 0.6324555320336759
fold 9,0.5044677467222657 ± 0.03645566075391522,0.6698394472454811 ± 0.03247726812986633,0.706383791344064 ± 0.04034113668777188,0.6376135515456027 ± 0.03299680519374897,0.6698394472454811 ± 0.0324772681298663,0.006845703 ± 0.0023410383,-10.2 ± 5.192301994298868,10.2 ± 5.192301994298868,-79.2 ± 39.85172518223019,79.2 ± 39.85172518223019,-6.0 ± 6.0332412515993425,6.8 ± 5.1146847410177685,-0.4 ± 0.7999999999999999,0.8 ± 0.4000000000000001
fold 10,0.4628914053432739 ± 0.11599950511388428,0.6242520168934858 ± 0.10877766879193394,0.6906097782476085 ± 0.0801227785815378,0.6084466313243674 ± 0.18013527725867554,0.6242520168934858 ± 0.10877766879193397,0.013589844 ± 0.007663391,-12.2 ± 11.01635148313633,14.2 ± 8.280096617793781,-117.2 ± 105.54506146665508,125.6 ± 95.39517807520461,3.0 ± 8.19756061276768,7.0 ± 5.215361924162119,-2.4 ± 3.555277766926235,2.8 ± 3.249615361854384
UNet++ timm-resnest101e jaccard 0.1
fold 1,0.5681555730136695 ± 0.1275306181658281,0.7157784767406202 ± 0.10874235538340339,0.7033135195659482 ± 0.1172864990209256,0.7352573650309124 ± 0.10904575771860354,0.7157784767406202 ± 0.10874235538340336,0.016785156 ± 0.011731666,-3.0 ± 7.127411872482185,6.6 ± 4.029888335921977,-49.2 ± 122.16284214113553,103.6 ± 81.31076189533584,3.0 ± 6.099180272790763,5.0 ± 4.604345773288535,-1.4 ± 1.624807680927192,1.8 ± 1.1661903789690604
