loss,IOU,DICE,PRECISION ,RECALL ,F1    ,|Filo # difference| ,Filo len abs difference ,
jaccard,0.512  ,0.671   ,0.726     ,0.644  ,0.671 ,6.14 ,96.90
custom,0.503  ,0.659   ,0.729     ,0.618  ,0.669 ,5.41 ,94.38
