model                                    ,IOU                 ,DICE               ,PRECISION          ,RECALL             ,F1                 ,MSE                  ,Filo # difference  ,Filo # abs difference ,Filo len difference ,Filo len abs difference ,Single filo # diff  ,Single filo # abs diff ,Fused filo # diff   ,Fused filo # abs diff
DeepLabV3+ timm-resnest101e jaccard      ,0.5121813141945426  ,0.6714352670956382 ,0.7268856088063129 ,0.6447657529284202 ,0.6714352670956382 ,0.015324414219999999 ,-6.140000000000001 ,    8.02              ,-96.9               ,     123.61999999999998 ,1.0                 ,    4.4                ,-1.18               ,   1.42
DeepLabV3+ timm-resnest101e jaccard 0.01 ,0.5004355613294784  ,0.6601478087949619 ,0.7215505305131877 ,0.6320673336096079 ,0.6601478087949619 ,0.015501758100000002 ,-7.619999999999999 ,    9.059999999999999 ,-111.74000000000001 ,     130.14000000000001 ,0.13999999999999999 ,    4.3                ,-1.1199999999999999 ,   1.3599999999999999
DeepLabV3+ timm-resnest101e jaccard 0.05 ,0.5073396563512833  ,0.6656797066832916 ,0.745781502142943  ,0.6226983571290211 ,0.6656797066832916 ,0.015011718400000002 ,-6.780000000000001 ,    9.1               ,-106.06000000000002 ,     132.26             ,0.5599999999999999  ,    5.4799999999999995 ,-0.96               ,   1.48
DeepLabV3+ timm-resnest101e jaccard 0.1  ,0.49983114578753673 ,0.6608283259317276 ,0.7212107983818072 ,0.6286405285954109 ,0.6608283259317276 ,0.01543164038        ,-6.94              ,    9.34              ,-100.76             ,     124.8              ,0.32                ,    4.8                ,-1.2600000000000002 ,   1.7
DeepLabV3+ timm-resnest101e jaccard 0.5  ,0.49050458374809314 ,0.6521788386591976 ,0.737256081981623  ,0.6056607316448691 ,0.6521788386591976 ,0.015609960049999996 ,-6.6               ,    8.56              ,-98.64000000000001  ,     134.79999999999998 ,2.34                ,    4.779999999999999  ,-1.44               ,   1.72
DeepLabV3+ timm-resnest101e jaccard 1    ,0.5003720235882048  ,0.65992279035781   ,0.7294222239095675 ,0.6277715733724827 ,0.65992279035781   ,0.015464453200000002 ,-5.84              ,    8.360000000000001 ,-96.32              ,     125.72000000000003 ,1.94                ,    5.0600000000000005 ,-1.28               ,   1.72
DeepLabV3+ timm-resnest101e jaccard 5    ,0.5010639277851302  ,0.6611691049989454 ,0.7232777412541556 ,0.6281380489154713 ,0.6611691049989454 ,0.015517773110000002 ,-6.44              ,    8.36              ,-108.34             ,     138.06             ,1.5                 ,    4.619999999999999  ,-1.32               ,   1.7200000000000002
DeepLabV3+ timm-resnest101e jaccard 10   ,0.4984496158517554  ,0.6590316018874274 ,0.7278607386366667 ,0.6275799129888942 ,0.6590316018874274 ,0.0156585939         ,-7.94              ,    8.940000000000001 ,-105.75999999999999 ,     134.16             ,0.5000000000000001  ,    5.34               ,-1.3599999999999999 ,   1.72
