image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
63,0.4902135231316726, 0.657910447761194, 0.8335854765506808, 0.5433925049309665, 0.6579104477611941, 0.005595703, -3, 3, -39, 39, 2, 2, 0, 0
57,0.3047660063163939, 0.46715810320167234, 0.906877402819308, 0.31461173681090693, 0.4671581032016723, 0.047294922, -72, 72, -1283, 1283, 12, 12, 2, 2
67,0.5511693171188026, 0.7106501025208057, 0.637524345379788, 0.802724795640327, 0.7106501025208057, 0.023427734, -2, 2, 123, 123, 10, 10, -2, 2
69,0.545681477783325, 0.7060723514211886, 0.6203178206583428, 0.8193403298350824, 0.7060723514211886, 0.008886719, -2, 2, 58, 58, -9, 9, 0, 0
55,0.6727019498607242, 0.8043297252289758, 0.8488576449912126, 0.7642405063291139, 0.804329725228976, 0.0022949218, 3, 3, -6, 6, 3, 3, 0, 0
69,0.5050784856879039, 0.6711656441717792, 0.7312834224598931, 0.6201814058956916, 0.6711656441717793, 0.005234375, -4, 4, -2, 2, 0, 0, 0, 0
58,0.31957113138102095, 0.4843560514188698, 0.9366791744840526, 0.32662741249591104, 0.48435605141886984, 0.041523438, -40, 40, -1007, 1007, 9, 9, -3, 3
56,0.7001187648456056, 0.8236115962277332, 0.7792465300727033, 0.8733333333333333, 0.8236115962277332, 0.009863282, -13, 13, -126, 126, -4, 4, 0, 0
92, 0.606687898089172, 0.755203171456888, 0.6994492525570417, 0.8206153846153846, 0.755203171456888, 0.016884767, -9, 9, -61, 61, 1, 1, -2, 2
78, 0.3439041578576462, 0.5117986366019927, 0.45692883895131087, 0.5816448152562574, 0.5117986366019927, 0.018183595, 7, 7, 127, 127, 8, 8, -1, 1
97,0.42217898832684825, 0.5937072503419972, 0.7, 0.5154394299287411, 0.5937072503419973, 0.008701172, -17, 17, -159, 159, -6, 6, -2, 2
83,0.6238761238761239, 0.7683789603199016, 0.7153493699885453, 0.8299003322259136, 0.7683789603199016, 0.007353516, 0, 0, -26, 26, 1, 1, 0, 0
96,0.33441348023331174, 0.5012141816415736, 0.759941089837997, 0.3739130434782609, 0.5012141816415735, 0.010029297, -14, 14, -211, 211, 2, 2, -2, 2
81,0.6023529411764705, 0.7518355359765051, 0.8205128205128205, 0.6937669376693767, 0.7518355359765051, 0.0016503907, 1, 1, -9, 9, 1, 1, 0, 0
95,0.49948717948717947, 0.6662106703146374, 0.5729411764705883, 0.795751633986928, 0.6662106703146374, 0.004765625, 8, 8, 42, 42, 7, 7, 0, 0
86,0.5234009360374415, 0.6871479774705581, 0.7373626373626374, 0.6433365292425696, 0.6871479774705582, 0.005966797, -12, 12, -82, 82, -3, 3, -2, 2
76,0.3889457523029683, 0.5600589535740604, 0.5993690851735016, 0.5255878284923928, 0.5600589535740604, 0.005830078, -5, 5, 4, 4, -1, 1, -1, 1
87,0.4713831478537361, 0.6407347379794706, 0.7031620553359684, 0.5884882566986437, 0.6407347379794706, 0.019482423, -5, 5, -200, 200, 7, 7, -4, 4
90,0.5940706955530216, 0.7453505007153076, 0.7707100591715976, 0.721606648199446, 0.7453505007153075, 0.010429688, -4, 4, -95, 95, 7, 7, -1, 1
75,0.6003344481605352, 0.7502612330198537, 0.9300518134715026, 0.6287215411558669, 0.7502612330198536, 0.0023339845, 0, 0, -9, 9, 3, 3, -1, 1
98,0.42787177203918075, 0.5993140006236358, 0.6091917591125198, 0.5897514575023013, 0.5993140006236358, 0.025097657, -41, 41, -213, 213, 5, 5, -11, 11
80,0.5717884130982368, 0.7275641025641025, 0.6952526799387443, 0.7630252100840336, 0.7275641025641024, 0.0033203126, 0, 0, -19, 19, 3, 3, 0, 0
77,0.5533333333333333, 0.7124463519313304, 0.6986531986531986, 0.7267950963222417, 0.7124463519313304, 0.0065429686, 0, 0, 53, 53, 0, 0, 1, 1
94,0.5625, 0.72, 0.7015057573073517, 0.7394957983193278, 0.72, 0.006015625, 2, 2, -7, 7, 3, 3, 0, 0
85,0.5431931252826775, 0.7039859320046893, 0.7217548076923077, 0.687070938215103, 0.7039859320046893, 0.009863282, -6, 6, -76, 76, -8, 8, 0, 0
79,0.5103857566765578, 0.6758349705304518, 0.7962962962962963, 0.5870307167235495, 0.6758349705304519, 0.004833984, -7, 7, -48, 48, 2, 2, -1, 1
91,0.6350710900473934, 0.7768115942028986, 0.8271604938271605, 0.73224043715847, 0.7768115942028985, 0.0030078124, -3, 3, -22, 22, 3, 3, -1, 1
74,0.4836440379880408, 0.6519677572309152, 0.5794353139485883, 0.7452574525745257, 0.651967757230915, 0.014335938, -2, 2, 66, 66, -5, 5, 1, 1
84,0.5117808219178083, 0.6770569046756071, 0.709726443768997, 0.6472626472626473, 0.6770569046756071, 0.008701172, -4, 4, -51, 51, -1, 1, -1, 1
88,0.4315214090494989, 0.6028850233347476, 0.5702247191011236, 0.6395139513951396, 0.6028850233347476, 0.01828125, 9, 9, 29, 29, 0, 0, 0, 0
93,0.5186830943243789, 0.6830695571219577, 0.6021101992966003, 0.7891825445605408, 0.6830695571219576, 0.023271484, -2, 2, 138, 138, -1, 1, 0, 0
82,0.4110032362459547, 0.5825688073394495, 0.6535162950257289, 0.5255172413793103, 0.5825688073394495, 0.0053320313, -8, 8, -34, 34, -2, 2, -1, 1
89,0.517301642782244, 0.681870536742686, 0.6804597701149425, 0.6832871652816251, 0.681870536742686, 0.013486329, 5, 5, -42, 42, 12, 12, -1, 1
109,0.5415704387990762, 0.702621722846442, 0.8496376811594203, 0.598978288633461, 0.702621722846442, 0.0038769532, -2, 2, -37, 37, -2, 2, 0, 0
114,0.49184149184149184, 0.659375, 0.8755186721991701, 0.5288220551378446, 0.659375, 0.0021289063, -2, 2, -40, 40, -2, 2, 0, 0
104,0.5284450063211125, 0.6914805624483044, 0.5718194254445964, 0.8744769874476988, 0.6914805624483042, 0.0036425781, 3, 3, 58, 58, 3, 3, 0, 0
108,0.5427631578947368, 0.7036247334754797, 0.6790123456790124, 0.7300884955752213, 0.7036247334754797, 0.0013574219, 3, 3, 14, 14, 3, 3, 0, 0
106,0.5732217573221757, 0.7287234042553191, 0.8353658536585366, 0.6462264150943396, 0.7287234042553192, 0.0009960937, 0, 0, -11, 11, 0, 0, 0, 0
112,0.6201607012417824, 0.7655545536519387, 0.8210831721470019, 0.7170608108108109, 0.7655545536519387, 0.005078125, -4, 4, -45, 45, 5, 5, -3, 3
111,0.4166666666666667, 0.5882352941176471, 0.5717761557177615, 0.6056701030927835, 0.5882352941176471, 0.0032128906, 3, 3, 0, 0, 2, 2, 0, 0
100,0.668241965973535, 0.8011331444759207, 0.7668112798264642, 0.8386714116251482, 0.8011331444759207, 0.0034277344, 1, 1, -2, 2, 1, 1, 0, 0
105,0.4482758620689655, 0.6190476190476191, 0.7222222222222222, 0.5416666666666666, 0.619047619047619, 0.00015625, 0, 0, -1, 1, 0, 0, 0, 0
101,0.5789473684210527, 0.7333333333333333, 0.72875, 0.7379746835443038, 0.7333333333333333, 0.004140625, 0, 0, 24, 24, 2, 2, 0, 0
115,0.42662116040955633, 0.5980861244019139, 0.6613756613756614, 0.5458515283842795, 0.5980861244019139, 0.001640625, 2, 2, -6, 6, 3, 3, 0, 0
117,0.5878787878787879, 0.7404580152671756, 0.7651699029126213, 0.717292377701934, 0.7404580152671755, 0.008632813, -6, 6, -113, 113, -3, 3, 1, 1
120,0.5894549763033176, 0.7417070443533358, 0.7583841463414634, 0.7257476294675419, 0.7417070443533358, 0.006767578, 3, 3, 3, 3, 4, 4, 0, 0
119,0.6159905474596298, 0.7623689982939312, 0.6785249457700651, 0.8698553948832035, 0.7623689982939311, 0.009521484, 5, 5, 30, 30, 8, 8, 0, 0
113,0.5077186963979416, 0.6734926052332195, 0.8131868131868132, 0.574757281553398, 0.6734926052332194, 0.0028027343, -2, 2, -36, 36, 0, 0, 0, 0
118,0.551779935275081, 0.7111574556830031, 0.8327228327228328, 0.6205641492265697, 0.7111574556830031, 0.005410156, -2, 2, -64, 64, 1, 1, 0, 0
102,0.6162227602905569, 0.7625468164794007, 0.8105095541401274, 0.7199434229137199, 0.7625468164794007, 0.0030957032, -1, 1, -38, 38, -2, 2, 0, 0
110,0.5250578257517348, 0.6885743174924166, 0.7402173913043478, 0.6436672967863895, 0.6885743174924166, 0.006015625, 1, 1, -28, 28, 1, 1, 0, 0
99,0.4513406156901688, 0.6219637358877865, 0.6424028268551236, 0.6027851458885941, 0.6219637358877865, 0.010791016, 6, 6, -35, 35, 9, 9, -1, 1
122,0.5771144278606966, 0.7318611987381703, 0.8923076923076924, 0.6203208556149733, 0.7318611987381703, 0.0033203126, 0, 0, -37, 37, 2, 2, 0, 0
121,0.6171706263498921, 0.7632721202003339, 0.8288614938361131, 0.7073019801980198, 0.7632721202003339, 0.0069238283, 4, 4, -66, 66, 8, 8, 0, 0
116,0.6526655896607432, 0.7898338220918866, 0.761402186204297, 0.8204711616571893, 0.7898338220918867, 0.010498047, -2, 2, -70, 70, 2, 2, 1, 1
107,0.5072463768115942, 0.6730769230769231, 0.7446808510638298, 0.6140350877192983, 0.673076923076923, 0.00033203125, 0, 0, 1, 1, 0, 0, 0, 0
103,0.554006968641115, 0.7130044843049327, 0.775609756097561, 0.6597510373443983, 0.7130044843049326, 0.00125, 0, 0, -6, 6, 0, 0, 0, 0
135,0.6138211382113821, 0.760705289672544, 0.7512437810945274, 0.7704081632653061, 0.760705289672544, 0.00092773436, 0, 0, 10, 10, 0, 0, 0, 0
126,0.6538071065989848, 0.7906691221608348, 0.7777777777777778, 0.8039950062421972, 0.7906691221608348, 0.0066601564, -2, 2, -2, 2, -4, 4, 1, 1
130,0.20100502512562815, 0.33472803347280333, 0.273972602739726, 0.43010752688172044, 0.3347280334728033, 0.0015527344, -1, 1, 11, 11, -1, 1, 0, 0
125,0.49244444444444446, 0.6599166170339488, 0.600216684723727, 0.7328042328042328, 0.6599166170339489, 0.005576172, 0, 0, 47, 47, 8, 8, -1, 1
129,0.3975694444444444, 0.568944099378882, 0.44901960784313727, 0.7762711864406779, 0.568944099378882, 0.003388672, 3, 3, 64, 64, 3, 3, 0, 0
134,0.5497512437810945, 0.709470304975923, 0.8875502008032129, 0.5909090909090909, 0.709470304975923, 0.0017675781, -2, 2, -24, 24, -2, 2, 0, 0
132,0.6638297872340425, 0.7979539641943734, 0.75, 0.8524590163934426, 0.7979539641943733, 0.0007714844, 1, 1, -1, 1, 1, 1, 0, 0
