test,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
one,0.499335288169798 ± 0.10983268763413243,0.6587963233496946 ± 0.0997903557561178,0.7914881735169845 ± 0.11034293722900591,0.5916349834269614 ± 0.1469412636472733,0.6587963233496947 ± 0.0997903557561178,0.007821614 ± 0.011012094,-5.711111111111111 ± 12.124579666890124,7.222222222222222 ± 11.289894968291854,-99.17777777777778 ± 200.545953602093,108.33333333333333 ± 195.75188377126796,1.0222222222222221 ± 5.779230586578071,3.688888888888889 ± 4.564706256691283,-0.6 ± 1.9367785395111936,1.0 ± 1.7638342073763937
two,0.5205584604611512 ± 0.11734143653885522,0.676148350610398 ± 0.11163745607281893,0.7548149673182406 ± 0.10554972979108918,0.6447526291422309 ± 0.16212193812989897,0.676148350610398 ± 0.11163745607281893,0.0077784285 ± 0.010587761,-5.533333333333333 ± 12.928177666545963,7.355555555555555 ± 11.985464447600325,-93.35555555555555 ± 212.02768745358134,102.82222222222222 ± 207.60200051368471,0.9333333333333333 ± 7.596490417730195,4.5777777777777775 ± 6.133655386069691,-0.5555555555555556 ± 1.7069212773041347,0.8666666666666667 ± 1.5719768163402128
three,0.5271375116928435 ± 0.11146389326997233,0.682894806792987 ± 0.10305611521191543,0.7456093320156039 ± 0.11532680760739464,0.657646803975331 ± 0.14309735498421314,0.6828948067929871 ± 0.10305611521191543,0.007784723 ± 0.010300281,-4.822222222222222 ± 13.570046898942767,7.311111111111111 ± 12.407564399227903,-83.04444444444445 ± 198.2461943651048,98.64444444444445 ± 190.9638890303092,1.1777777777777778 ± 7.11895400833855,4.155555555555556 ± 5.898985056037863,-0.4444444444444444 ± 1.8685176008513695,0.9333333333333333 ± 1.6786237749352226
four,0.5111581505070479 ± 0.11667222701783642,0.6682383179289249 ± 0.10779122468847989,0.731758940550263 ± 0.111342521025413,0.6532755047602172 ± 0.16938276954160042,0.6682383179289249 ± 0.10779122468847989,0.007860677 ± 0.0107653495,-5.2444444444444445 ± 13.143913767816741,7.2 ± 12.183048332279842,-93.8 ± 214.31830947862989,106.6 ± 208.2479718455327,1.288888888888889 ± 5.491902006984555,3.6444444444444444 ± 4.305838700367241,-0.4888888888888889 ± 1.6141350930964333,0.8888888888888888 ± 1.4332902663641867
five,0.5091199233553247 ± 0.11410553451376165,0.6665754274990726 ± 0.10854079913285691,0.7515630231343384 ± 0.11342718602257941,0.6382944704068623 ± 0.16756152826274648,0.6665754274990726 ± 0.10854079913285691,0.007740451 ± 0.010267935,-5.7555555555555555 ± 12.442142644265374,6.644444444444445 ± 11.991025450645358,-90.0 ± 181.50837140167638,97.33333333333333 ± 177.68373901713994,0.6 ± 7.39789759924324,3.977777777777778 ± 6.266272643247034,-0.4444444444444444 ± 1.7957425645188374,0.8444444444444444 ± 1.645945261079218
