 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,53,226,20.9706,48.0711
2,72,202,30.2132,309.6518
3,87,105,18.8995,0
4,91,171,5.4142,0
5,92,119,8.6569,0
6,101,74,30.9706,0
7,123,210,5.4142,0
8,141,206,11.8995,0
9,143,198,18.7279,0
10,149,113,25.6274,0
11,149,200,2.8284,0
12,154,221,6.6569,0
13,155,207,8.4853,0
14,157,217,16.7279,0
15,158,188,32.799,0
16,160,229,5.2426,0
17,162,201,12.4853,0
18,169,213,5.2426,0
19,167,207,2.4142,0
20,163,185,3,0
21,166,218,8.0711,0
22,171,180,2,0
23,174,173,7,0
24,178,232,3.8284,0
25,195,104,4.2426,0
26,200,119,4.8284,0
27,206,115,4.2426,0
28,201,114,2.8284,0
29,200,129,7.6569,0
30,205,122,8.2426,0
31,262,130,31.3137,0
32,286,137,5.2426,0
33,294,133,4.4142,0
34,277,205,15.4142,0
35,268,202,15.3137,0
36,276,181,11.4853,0
37,276,175,2.8284,0
38,285,173,20.7279,0
39,295,138,10.0711,0
40,301,173,4.8284,0
41,311,141,8.8284,0
