 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,42,192,16.6569,240.9239
2,24,197,4,0
3,29,200,3.4142,0
4,72,159,3.8284,0
5,84,211,2.4142,0
6,140,174,13.0711,0
