 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,13,78,7.8284,60.3848
2,45,61,4,23.6569
3,46,49,11.6569,97.5269
4,53,210,5,147.9117
5,59,193,17.2426,221.3675
6,72,273,4.4142,219.1665
7,73,99,10.0711,131.0833
8,76,231,5.8284,0
9,83,54,15.4853,0
10,84,162,51.7279,0
11,85,194,7.4142,0
12,96,198,3.8284,0
13,110,182,20.3137,0
14,126,149,6.8284,0
15,147,99,29.4853,0
16,153,201,3.4142,0
17,173,113,34.7279,0
18,173,190,9.2426,0
19,177,122,6.2426,0
20,181,145,46.9411,0
21,181,181,21.8284,0
22,199,246,49.0416,0
23,200,59,11.8995,0
24,200,165,28.6274,0
25,201,188,29.6274,0
26,226,130,19.7279,0
27,202,151,16.4853,0
28,215,144,15.0711,0
29,231,139,3.8284,0
30,230,143,2.8284,0
31,230,192,12.6569,0
32,234,1,37.4853,0
33,239,47,11.4142,0
34,246,33,7.2426,0
35,236,138,43.799,0
36,237,146,13.0711,0
37,246,48,10.6569,0
38,253,59,8.2426,0
39,256,243,8.4142,0
40,259,264,36.6274,0
41,285,262,7.4142,0
42,277,257,4.4142,0
43,266,82,52.0416,0
44,299,239,13.6569,0
45,270,242,13.2426,0
46,282,239,7.2426,0
47,282,239,6.6569,0
48,277,204,8.2426,0
49,288,210,7.2426,0
50,151,258,14.8995,0
