 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,3,225,3,712.2447
2,31,141,3.4142,0
3,41,146,11.0711,0
4,46,220,5,0
5,48,120,15.0711,0
6,52,157,7.8284,0
7,56,137,15.2426,0
8,62,152,3.4142,0
9,84,207,5.8284,0
10,87,196,5.8284,0
11,89,161,21.3137,0
12,104,246,3.4142,0
13,108,141,7.8284,0
14,111,155,3.4142,0
15,118,136,9.0711,0
16,125,150,10.2426,0
17,126,140,2.8284,0
18,128,155,1.4142,0
19,131,221,6.2426,0
20,132,163,4.4142,0
21,132,241,19.9706,0
22,138,242,6.2426,0
23,141,121,8.6569,0
24,144,129,3.8284,0
25,149,224,20.3137,0
26,153,128,5.4142,0
27,154,117,3,0
28,164,225,3.4142,0
29,165,204,1,0
30,167,131,7.8284,0
31,173,121,2,0
32,178,199,3.4142,0
33,184,214,4.8284,0
34,187,120,19.8995,0
35,187,202,3.4142,0
36,207,118,13.4853,0
37,219,119,15.0711,0
38,222,175,13.6569,0
39,236,109,2.4142,0
40,243,181,11.0711,0
41,244,66,4.4142,0
42,248,97,2.4142,0
43,252,79,3.4142,0
44,256,187,3.8284,0
45,260,84,4.8284,0
46,265,119,8.2426,0
47,269,118,7.2426,0
48,266,108,4,0
49,266,101,13.0711,0
50,267,180,4.8284,0
51,270,74,18.7279,0
52,271,199,14.4853,0
53,282,201,5.2426,0
54,283,192,8.6569,0
