 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,32,239,19.3137,35.8284
2,22,245,15.3071,462.1198
3,21,254,11.0711,213.5097
4,15,259,8.6569,65.6274
5,9,264,8.0711,80.3553
6,22,245,7.6503,190.4975
7,21,254,5.2426,0
8,14,256,3.4142,0
9,22,221,11.4853,0
10,28,277,5.4142,0
11,38,319,5.4142,0
12,39,237,8.8284,0
13,55,283,7.8284,0
14,67,105,28.3848,0
15,103,85,10.2426,0
16,97,81,8.2426,0
17,93,88,2.4142,0
18,102,75,4.2426,0
19,102,194,8.4142,0
20,109,9,22.5563,0
21,147,213,4.8284,0
22,169,251,9.2426,0
23,175,277,27.5563,0
24,189,177,3.4142,0
25,194,182,17.8995,0
26,197,176,3.8284,0
27,218,292,1,0
28,221,146,56.4264,0
29,231,229,25.5563,0
30,261,230,6.6569,0
31,172,291,11.4853,0
