 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,10,89,6.2426,478.8478
2,0,84,5.8284,246.196
3,7,84,2.8284,478.7229
4,0,103,2.8284,0
5,0,147,9.8284,0
6,2,180,8.8284,0
7,6,95,8.2426,0
8,13,157,14.8995,0
9,13,185,8.4142,0
10,19,172,11.6569,0
11,21,78,5,0
12,21,158,4.8284,0
13,21,191,5.8284,0
14,32,61,2.4142,0
15,33,197,4.2426,0
16,33,195,2.8284,0
17,34,183,13.6569,0
18,44,159,7.8284,0
19,44,248,5.8284,0
20,45,57,4.8284,0
21,49,245,7.6569,0
22,51,221,2.4142,0
23,61,245,15.4853,0
24,61,231,2.4142,0
25,64,230,2.4142,0
26,68,105,9.2426,0
27,77,249,8.8284,0
28,82,129,4.8284,0
29,87,117,10.8284,0
30,87,260,3.4142,0
31,97,125,12.2426,0
32,99,253,6.4142,0
33,102,233,7.8284,0
34,102,249,10.8284,0
35,107,222,15.2426,0
36,111,131,7.8284,0
37,116,228,2,0
38,124,228,4.8284,0
39,128,36,4.4142,0
40,134,83,4.4142,0
41,135,201,6.8284,0
42,141,42,9.4853,0
43,147,51,3.4142,0
44,150,47,2.4142,0
45,143,148,4.8284,0
46,146,81,3,0
47,147,192,5,0
48,155,154,4,0
49,162,97,11,0
50,167,41,6.2426,0
51,167,195,19.9706,0
52,171,54,7.2426,0
53,176,85,1,0
54,177,70,4.4142,0
55,180,199,15.4853,0
56,181,72,3.4142,0
57,191,66,4.8284,0
58,211,32,9.2426,0
59,212,239,4,0
60,228,263,8.8284,0
61,236,30,2.4142,0
62,239,36,4.8284,0
63,244,143,7.2426,0
64,247,50,10.0711,0
65,255,285,38.9706,0
66,277,165,16.3137,0
67,261,149,9.2426,0
68,271,148,4.8284,0
69,262,136,5.4142,0
70,269,77,5.4142,0
71,269,83,6.2426,0
72,269,124,3,0
73,271,106,5.4142,0
74,271,300,3.8284,0
75,279,79,12.8284,0
76,280,172,9.6569,0
77,285,91,17.8995,0
78,292,318,6.8284,0
79,299,298,17.6569,0
80,300,88,16.8995,0
81,300,287,3.4142,0
