 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,45,217,10,349.4802
2,60,211,3.8284,16.4142
3,70,213,2.4142,81.3553
4,82,299,6.2426,81.2132
5,88,176,4.8284,70.799
6,97,131,21.3137,564.463
7,106,138,8.4142,0
8,110,235,17.4853,0
9,125,70,38.8284,0
10,130,299,13.8995,0
11,163,102,11.2426,0
12,149,102,10.0711,0
13,149,102,10.0711,0
14,143,107,4.8284,0
15,147,105,3.8284,0
16,148,108,3.4142,0
17,147,211,2,0
18,153,228,9.0711,0
19,161,242,4,0
20,167,291,11.6569,0
21,250,202,7.4142,0
22,255,152,35.4853,0
23,274,313,5.8284,0
24,288,313,12.0711,0
25,289,106,7.2426,0
26,290,79,1,0
27,290,206,5.2426,0
28,290,260,7.8284,0
29,292,168,9.2426,0
30,296,225,7.4142,0
31,305,52,6.4142,0
32,307,121,5.4142,0
33,308,218,6.6569,0
34,315,301,3.8284,0
