 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,80,112,44.799,557.1493
2,80,121,22.8995,50.0711
3,80,133,32.6569,0
4,105,129,7.6569,0
5,110,160,4.8284,0
6,114,212,21.3137,0
7,120,194,15.4853,0
8,111,230,15.2426,0
9,136,188,12.6569,0
10,120,194,8.6569,0
11,127,181,7.8284,0
12,112,216,4.8284,0
13,112,209,3.8284,0
14,110,216,2,0
15,125,120,3.8284,0
16,127,91,20.1421,0
17,128,107,14.3137,0
18,142,114,4.8284,0
19,137,107,4.2426,0
20,141,107,3.4142,0
21,129,157,12.2426,0
22,145,101,14.6569,0
23,146,65,9.2426,0
24,146,85,19.4853,0
25,149,38,11.2426,0
26,151,24,33.3137,0
27,153,200,13.6569,0
28,171,236,25.4853,0
29,162,236,24.2426,0
30,166,273,14.4142,0
31,165,24,15.8284,0
32,172,44,32.4142,0
33,176,71,12.4853,0
34,182,86,9.2426,0
35,189,81,5.2426,0
36,178,33,8.2426,0
37,179,301,3,0
38,183,68,6.8284,0
39,183,107,17.8995,0
40,208,236,1,0
41,208,296,87.8406,0
42,210,210,4.8284,0
43,216,267,16,0
44,224,267,5,0
45,229,249,7.8284,0
