 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,55,219,7.4142,781.8965
2,71,265,6.2426,23.2426
3,75,172,4.8284,67.9117
4,79,283,9.2426,32.0711
5,85,174,3.4142,0
6,91,198,7.4142,0
7,99,280,1,0
8,126,264,2.4142,0
9,153,257,7.0711,0
10,155,239,2,0
11,170,257,4.4142,0
12,177,244,6.4142,0
13,184,233,12.4853,0
14,185,119,9.6569,0
15,187,244,2.8284,0
16,188,142,6.2426,0
17,190,116,7.2426,0
18,201,115,12.2426,0
19,207,160,4.4142,0
20,218,126,5.2426,0
21,228,126,11.4853,0
22,235,141,6.2426,0
23,237,149,21.0711,0
24,246,106,11.0711,0
25,250,231,28.4853,0
26,254,264,24.3848,0
27,280,274,8.2426,0
28,255,261,3.4142,0
29,252,265,2.4142,0
30,273,279,2,0
31,261,119,9.8284,0
32,267,231,12.4853,0
33,272,114,5,0
34,277,244,7.2426,0
35,284,284,7.4142,0
36,286,262,5.8284,0
37,288,124,6.8284,0
38,292,131,4.4142,0
39,294,274,3.4142,0
40,294,280,6.8284,0
