 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,32,219,14.0711,42.0711
2,32,232,9.6569,459.1493
3,32,219,6.6569,46.8995
4,29,223,5.8284,0
5,44,230,8.4142,0
6,61,201,11.0711,0
7,48,200,10.4853,0
8,57,214,7.2426,0
9,97,147,14.8995,0
10,89,155,13.4853,0
11,77,135,13.2426,0
12,77,135,12.0711,0
13,75,132,7.2426,0
14,83,144,6.2426,0
15,75,132,3.8284,0
16,73,132,2,0
17,85,210,32.9706,0
18,122,149,59.4558,0
19,177,189,58.4264,0
20,178,87,49.7279,0
21,185,128,9.2426,0
22,215,181,9.2426,0
23,218,125,2.4142,0
24,222,159,4.4142,0
25,222,167,4.4142,0
26,225,163,2,0
27,223,130,31.3848,0
28,225,120,19.5563,0
29,229,164,7.4142,0
30,254,93,4.4142,0
31,250,99,3.8284,0
32,255,98,2.4142,0
33,259,108,9.2426,0
34,270,109,7.6569,0
