 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,42,132,3.4142,256.5391
2,57,142,6.8284,0
3,58,128,4.4142,0
4,92,117,1,0
5,130,125,12.6569,0
6,140,117,3.8284,0
7,138,123,3,0
8,165,187,8.8284,0
9,168,147,2,0
10,186,141,11.0711,0
11,192,148,7.2426,0
12,181,148,6.8284,0
