 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,84,164,20.3848,170.6396
2,94,261,4.8284,225.7523
3,98,131,19.3137,44.0711
4,99,195,8.2426,0
5,101,184,6.2426,0
6,110,158,4.2426,0
7,115,71,6.6569,0
8,131,105,19.8284,0
9,129,73,10.0711,0
10,124,81,7.0711,0
11,119,80,5.4142,0
12,130,85,1.4142,0
13,119,119,4.4142,0
14,138,116,12.0711,0
15,155,227,8.8284,0
16,159,201,9.6569,0
17,167,223,14.8995,0
18,170,72,16.0711,0
19,180,100,8.4142,0
20,182,117,5,0
21,186,213,6,0
22,186,224,10,0
