 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,99,151,9.4142,86.3553
2,106,138,27.4853,380.3625
3,112,162,15.4853,0
4,113,154,11.4142,0
5,131,155,7.8284,0
6,128,128,8.8284,0
7,129,112,16.1421,0
8,128,65,25.3782,0
9,128,65,21.1421,0
10,128,65,12.8929,0
11,131,77,10.4853,0
12,138,84,9.6569,0
13,148,96,7.6569,0
14,142,92,5.8284,0
15,140,83,5.6569,0
16,130,73,4.4142,0
17,139,96,4.4142,0
18,147,85,3.8284,0
19,138,84,2.4142,0
20,140,92,2,0
21,134,170,8.2426,0
22,159,98,5.4142,0
23,161,217,8.8284,0
24,162,319,9,0
25,169,233,8.6569,0
26,171,110,20.4853,0
27,172,316,4,0
28,174,114,25.6274,0
29,201,281,11.2426,0
30,209,290,44.0711,0
31,231,269,22.1421,0
32,205,237,14.4853,0
33,212,248,8.4853,0
34,220,250,5.4142,0
35,207,204,49.9411,0
36,212,163,20.2426,0
37,212,228,6.8284,0
38,214,169,10.0711,0
39,215,294,15.8995,0
40,230,273,6.6569,0
41,272,287,35.5563,0
42,253,305,15.6569,0
43,233,296,8.8284,0
44,239,303,7.8284,0
45,236,304,3.4142,0
46,233,317,4.8284,0
47,257,301,17.0711,0
48,266,307,6.4142,0
