 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,0,147,9.2426,945.7716
2,0,156,9.4142,494.3625
3,18,155,8.6569,0
4,7,156,5.8284,0
5,12,162,3.4142,0
6,19,163,10.6569,0
7,20,193,4.8284,0
8,21,65,7.0711,0
9,23,148,4.4142,0
10,24,172,13.3137,0
11,36,176,4.8284,0
12,33,184,4.4142,0
13,27,149,16.7279,0
14,28,196,5.8284,0
15,28,212,8.2426,0
16,30,142,7.0711,0
17,33,206,9.2426,0
18,39,170,4.4142,0
19,39,209,16.3137,0
20,41,236,3.4142,0
21,45,138,11.6569,0
22,47,224,10.2426,0
23,50,104,3.4142,0
24,50,110,7,0
25,54,51,4.8284,0
26,58,105,26.3137,0
27,58,132,23.7279,0
28,59,223,14.4853,0
29,63,233,11.0711,0
30,73,222,5.6503,0
31,63,238,5,0
32,74,227,3.6503,0
33,61,231,2.8284,0
34,62,244,6.4142,0
35,68,41,4.8284,0
36,77,238,6.2426,0
37,77,247,7,0
38,81,243,4.4142,0
39,83,260,25.0711,0
40,88,101,7.2426,0
41,88,116,7.8284,0
42,90,254,3.8284,0
43,91,238,4,0
44,93,130,3,0
45,94,226,8.4142,0
46,94,269,1,0
47,95,213,7,0
48,96,241,18.0711,0
49,104,260,6.8284,0
50,100,259,2.4142,0
51,97,279,3.4142,0
52,99,272,3.4142,0
53,100,286,5.4142,0
54,101,225,16.2426,0
55,105,265,4.4142,0
56,107,287,3.4142,0
57,108,40,4,0
58,108,234,6.8284,0
59,108,241,7.6569,0
60,112,134,5.8284,0
61,112,261,10.6569,0
62,113,160,2,0
63,114,238,16.3137,0
64,117,242,21.7279,0
65,119,138,1,0
66,126,215,6.8284,0
67,128,74,5,0
68,129,98,10,0
69,140,151,4.8284,0
70,144,98,7,0
71,146,231,8.2426,0
72,147,195,18.4853,0
73,149,177,3,0
74,151,33,2.8284,0
75,154,168,22.4142,0
76,156,98,21.8284,0
77,159,199,10.4853,0
78,162,28,6.2426,0
79,166,235,2.4142,0
80,171,197,11.6569,0
81,177,226,6.6569,0
82,179,205,26.8995,0
83,181,195,10.2426,0
84,191,29,8.6569,0
85,204,36,11.8284,0
86,211,241,4.8284,0
87,212,45,3.8284,0
88,218,32,9.2426,0
89,229,29,2,0
90,234,147,4.4142,0
91,242,37,3.4142,0
92,250,34,7.2426,0
93,253,24,4,0
94,261,67,2,0
95,268,68,14.8995,0
96,268,77,5.4142,0
97,268,146,38.2132,0
98,271,83,5.4142,0
99,271,101,3.8284,0
100,277,100,3.4142,0
101,274,97,2,0
102,277,94,5.8284,0
103,278,117,3.4142,0
104,300,88,25.1421,0
105,288,78,8.6569,0
106,301,75,7.2426,0
107,283,81,6.2426,0
108,287,76,2.4142,0
109,283,294,25.3137,0
110,285,92,25.4853,0
111,289,85,4.4142,0
112,291,40,2,0
113,303,318,12.4853,0
114,298,297,12.2426,0
115,292,314,8.0711,0
116,309,286,5.8284,0
