 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,118,115,31.4142,387.2082
2,126,203,12.8284,53.4853
3,138,110,26.4142,0
4,144,147,13.8995,0
5,146,163,10.8284,0
6,155,118,24.7279,0
7,168,152,6.2426,0
8,169,182,7,0
9,176,208,24.799,0
10,185,141,3.8284,0
11,187,94,4,0
12,197,103,1,0
13,198,114,13.3137,0
14,199,200,5.2426,0
15,203,211,3.8284,0
16,205,85,6.2426,0
17,215,109,2.4142,0
18,216,98,7.6569,0
19,216,205,6.2426,0
20,229,115,8.4142,0
21,233,102,7.0711,0
22,226,107,2,0
23,227,83,4,0
24,239,205,9.2426,0
25,227,202,4.8284,0
26,231,208,4,0
27,228,101,12.8995,0
28,228,215,8.6569,0
29,237,86,2.4142,0
30,237,119,9.6569,0
31,241,211,16.7279,0
32,262,223,9.2426,0
33,252,226,6.8284,0
34,246,147,6.8284,0
35,248,132,8.2426,0
36,258,142,22.1421,0
37,267,227,5.8284,0
38,272,132,13.2426,0
39,275,116,6.8284,0
