 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,34,253,17.8995,53.4853
2,47,269,9.2426,150.2548
3,48,208,11.4853,105.9706
4,57,214,8.2426,200.9828
5,62,222,5.8284,207.8112
6,57,214,4.8284,80.799
7,56,276,2,0
8,71,247,7.0711,0
9,64,243,6.8284,0
10,58,253,5.6569,0
11,62,249,5.2426,0
12,65,256,4.4142,0
13,64,192,20.4853,0
14,65,268,9.6569,0
15,79,248,20.3137,0
16,87,243,10.0711,0
17,92,127,7.6569,0
18,95,142,25.8995,0
19,131,105,24.3137,0
20,98,115,10.6569,0
21,114,106,6.6569,0
22,102,119,6.6569,0
23,98,115,5.6569,0
24,107,115,5.2426,0
25,93,115,5,0
26,102,224,2.4142,0
27,108,241,3,0
28,118,53,25.7279,0
29,125,64,15.3137,0
30,136,81,10.2426,0
31,126,78,7.2426,0
32,135,75,6.8284,0
33,124,74,5.8284,0
34,129,72,5.8284,0
35,129,77,5.8284,0
36,124,74,4.8284,0
37,118,49,4,0
38,126,78,3.4142,0
39,130,70,2.4142,0
40,121,125,5.2426,0
41,133,60,4.8284,0
42,151,84,7.8284,0
43,131,226,37.1421,0
44,158,217,21.8995,0
45,131,226,11.9907,0
46,131,226,11.434,0
47,173,248,9.8284,0
48,159,243,9.0711,0
49,165,254,4.4142,0
50,163,268,2.8284,0
51,198,74,34.3848,0
52,194,83,20.8995,0
53,170,86,7.4142,0
54,170,94,3.8284,0
55,172,273,15.6569,0
56,177,54,5.4142,0
57,187,50,14.0711,0
58,188,123,6.4142,0
59,199,208,13.8995,0
60,200,124,2,0
61,203,72,6.4142,0
62,213,59,5.8284,0
63,205,60,4.8284,0
64,207,54,3.4142,0
65,212,196,9.0711,0
66,217,44,4.4142,0
67,217,127,19,0
68,233,199,24.3848,0
69,227,224,18.6569,0
70,218,216,13.8995,0
71,239,187,11.0711,0
72,233,189,10.8284,0
73,227,207,10.4853,0
74,253,182,5.8284,0
75,223,202,10.4142,0
76,224,163,5.4142,0
77,225,35,3,0
78,225,174,8.2426,0
79,230,253,3.8284,0
80,232,216,24.3137,0
81,255,189,19.2426,0
82,258,207,6.8284,0
83,233,161,4,0
84,235,246,7.4142,0
85,236,178,5.8284,0
86,239,65,16.3137,0
87,247,143,3.4142,0
88,252,247,3.4142,0
89,253,224,3.8284,0
90,273,221,4.4142,0
91,288,217,3,0
92,290,204,13.0711,0
93,294,215,4.4142,0
94,300,194,6.4142,0
95,308,207,11.4142,0
