 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,108,188,3.8284,170.0122
2,110,210,10.0711,0
3,130,153,9.2426,0
4,121,153,3.4142,0
5,123,148,3,0
6,124,188,4.4142,0
7,129,213,17.8995,0
8,136,114,13.0711,0
9,141,141,6.2426,0
10,147,209,12.8995,0
11,155,121,6.8284,0
12,155,194,9.6569,0
13,156,150,11.0711,0
14,156,177,5.4142,0
15,161,118,4.8284,0
16,161,201,16.2426,0
17,163,112,4.4142,0
18,164,127,9.4142,0
19,166,144,5.2426,0
20,169,123,7.8284,0
21,193,178,16.2426,0
22,174,189,12.2426,0
23,173,176,6.8284,0
24,174,193,4.8284,0
25,172,188,2.4142,0
26,174,157,12.2426,0
27,183,164,6.2426,0
28,178,170,3,0
29,185,158,7.6569,0
