 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,43,180,8,236.8823
2,53,155,26.6274,0
3,64,146,24.9706,0
4,78,213,10.2426,0
5,80,171,4.4142,0
6,103,109,34.5563,0
7,125,124,13.3137,0
8,116,121,12.8284,0
9,112,139,8.2426,0
10,108,145,7.6569,0
11,112,210,4,0
12,116,108,7.8284,0
13,126,145,10.8995,0
14,130,196,28.799,0
15,165,194,29.5563,0
16,151,172,16.1421,0
17,131,184,10.2426,0
18,179,174,30.3848,0
19,155,135,25.5563,0
20,159,159,7.2426,0
21,140,157,6.6569,0
22,140,164,6.2426,0
23,145,161,5.8284,0
24,145,153,4.8284,0
25,150,159,4.8284,0
26,149,155,4.4142,0
27,58,179,19.3137,0
