 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,6,46,14.8995,112.2843
2,10,66,4.4142,840.0559
3,47,44,3.4142,53.0416
4,62,58,5.4142,142.9828
5,66,22,2.4142,104.9411
6,69,15,8.6569,166.1543
7,78,1,11.2426,126.0122
8,91,21,2,85.5269
9,112,26,2.4142,0
10,118,21,8.2426,0
11,154,99,4.4142,0
12,159,275,27.8995,0
13,168,243,2,0
14,168,302,4.2426,0
15,176,244,1.4142,0
16,182,91,4,0
17,194,288,4,0
18,195,281,7.8284,0
19,197,207,9.6569,0
20,198,264,3.8284,0
21,206,237,8,0
22,208,317,6.8284,0
23,209,129,4.4142,0
24,210,116,3.4142,0
25,210,124,4.4142,0
26,211,111,2.8284,0
27,221,134,1.4142,0
28,223,125,10.2426,0
29,227,319,10.8284,0
30,235,236,7.6569,0
31,236,176,1,0
32,238,129,9.6569,0
33,243,253,13.4853,0
34,245,157,9.6569,0
35,249,101,7.6569,0
36,251,181,4.4142,0
37,256,191,7.6569,0
38,259,142,6.2426,0
39,261,130,6.2426,0
40,275,280,9.8284,0
41,278,203,5.4142,0
42,286,225,5.8284,0
43,291,60,1.4142,0
44,302,233,8.2426,0
