 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,40,192,23.7279,493.8772
2,14,191,19.6569,0
3,31,199,14.0711,0
4,50,181,5.8284,0
5,53,204,2,0
6,57,176,4,0
7,62,170,9.4142,0
8,70,135,31.3137,0
9,78,173,2.4142,0
10,84,123,22.3848,0
11,113,95,2,0
12,113,107,5.4142,0
13,148,106,2.4142,0
14,152,123,2.4142,0
15,156,134,1,0
16,157,111,2,0
17,197,134,7.6569,0
18,200,166,1,0
19,209,150,3,0
