 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,72,156,5,122.8406
2,89,173,4.4142,205.0244
3,102,90,5.8284,0
4,102,137,2.8284,0
5,103,177,6.2426,0
6,115,229,2.8284,0
7,118,184,5.4142,0
8,125,235,2.8284,0
9,134,148,5.4142,0
10,159,71,3,0
11,182,184,12.6569,0
