 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,117,164,4.4142,160.9828
2,130,218,5,173.5685
3,132,273,1,0
4,135,231,5.4142,0
5,146,118,1,0
6,159,176,17.0711,0
7,153,176,10.8284,0
8,152,195,10.2426,0
9,178,130,11.8995,0
