 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,108,216,42.2132,415.9777
2,69,241,10.0711,0
3,73,230,4.8284,0
4,87,246,5.4142,0
5,94,246,4.8284,0
6,99,238,5.2426,0
7,100,203,6.6569,0
8,110,89,4.8284,0
9,110,197,6.2426,0
10,114,237,3.4142,0
11,129,85,42.0416,0
12,148,126,10.8284,0
13,151,114,3.8284,0
14,135,169,5.8284,0
15,138,95,4.2426,0
16,138,124,6.4142,0
17,138,236,19.2426,0
18,145,85,19.0711,0
19,145,234,10.4853,0
20,146,102,2.8284,0
21,150,82,2.4142,0
22,157,80,9.6569,0
23,154,69,4.4142,0
24,158,68,4.4142,0
25,162,73,3.4142,0
26,159,66,2.4142,0
27,157,204,4,0
28,163,107,14.0711,0
29,164,90,20.5563,0
30,165,68,4.8284,0
31,166,113,3,0
32,171,72,7.8284,0
33,186,67,15.4853,0
34,186,98,4.2426,0
35,187,74,4.4142,0
36,228,160,36.6985,0
37,196,134,8.4142,0
38,205,128,7.4142,0
39,209,87,2.8284,0
40,213,100,2,0
41,215,153,8.0711,0
