 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,102,86,22.8995,194.267
2,108,248,7.6569,428.865
3,111,113,21.0711,0
4,115,289,5.2426,0
5,116,180,9.4142,0
6,119,263,2,0
7,131,119,3.4142,0
8,142,287,14.6569,0
9,149,249,8,0
10,153,35,11.8284,0
11,159,53,12.6569,0
12,164,45,10.6569,0
13,167,155,8,0
14,181,173,12.8284,0
15,183,58,1.4142,0
16,278,7,4,0
17,278,15,1,0
