 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,12,56,27.1421,272.8944
2,0,43,13.0711,156.6396
3,7,53,7.2426,422.8894
4,4,78,28.1421,176.0366
5,30,144,26.1421,0
6,30,151,5,0
7,40,161,42.6985,0
8,55,82,5.8284,0
9,57,132,22.5563,0
10,67,105,2.8284,0
11,69,210,7.4142,0
12,70,94,1,0
13,70,223,7.4142,0
14,74,161,6.4142,0
15,79,240,5.8284,0
16,83,162,11.0711,0
17,84,92,5.4142,0
18,84,99,10.2426,0
19,84,106,62.5269,0
20,88,142,16.5563,0
21,90,242,12.6569,0
22,91,53,10.2426,0
23,94,157,3,0
24,98,255,4.8284,0
25,107,236,4.8284,0
26,103,232,4,0
27,109,231,2.4142,0
28,108,245,6.2426,0
29,111,265,12.0711,0
30,114,147,9.2426,0
31,120,222,8.6569,0
32,161,17,18.8995,0
33,140,3,12.4853,0
34,148,16,5.2426,0
35,137,1,3.8284,0
36,141,1,2.4142,0
37,150,210,4,0
38,151,21,6.8284,0
39,155,217,14.4853,0
40,177,219,8.2426,0
41,167,221,3.4142,0
42,171,225,3.4142,0
43,168,102,10.0711,0
44,170,206,11.4853,0
45,171,85,8.6569,0
46,182,87,6.2426,0
47,177,83,3,0
48,178,70,7.8284,0
49,182,23,14.1421,0
50,196,163,4.8284,0
51,198,7,8.0711,0
52,208,104,9,0
53,208,145,19.9706,0
54,212,73,24.1421,0
55,212,157,8.2426,0
56,216,147,25.799,0
57,218,96,5.2426,0
58,233,152,7.8284,0
59,231,147,6.2426,0
60,223,151,4.2426,0
61,225,89,76.6396,0
62,225,114,11.8995,0
63,230,162,25.0711,0
64,235,129,39.0416,0
65,238,108,7.6569,0
66,257,168,8.4142,0
67,274,144,5.4142,0
68,278,216,12.0711,0
69,282,118,3.8284,0
70,284,204,6.2426,0
71,288,128,8.6569,0
