 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,27,159,21.8995,301.9949
2,52,151,10.4142,0
3,90,166,4.8284,0
4,114,120,25.3137,0
5,127,177,4.4142,0
6,133,185,9,0
7,153,178,10.4142,0
8,179,153,38.1421,0
9,184,157,5.4142,0
