 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,21,242,27.2426,200.5685
2,35,233,7.8284,984.1097
3,53,290,1.4142,0
4,64,281,9.4853,0
5,83,265,8.8284,0
6,95,268,10.2426,0
7,116,211,5,0
8,127,196,11.4142,0
9,129,315,4.2426,0
10,135,189,10.8995,0
11,138,181,4.2426,0
12,141,89,32.1127,0
13,144,107,47.2843,0
14,146,70,3,0
15,148,203,5.6569,0
16,150,62,10.2426,0
17,154,133,5.8284,0
18,155,85,5,0
19,161,144,4.4142,0
20,163,152,2.8284,0
21,163,161,11.4853,0
22,172,210,4.8284,0
23,187,126,14.2426,0
24,187,148,5.2426,0
25,191,136,14.0711,0
26,193,300,12,0
27,198,49,11.4142,0
28,198,306,3.4142,0
29,200,37,2.4142,0
30,205,306,3.4142,0
31,210,301,4,0
32,214,221,7.8284,0
33,219,304,3.4142,0
34,223,204,9.6569,0
35,225,253,7.8284,0
36,226,41,6.6569,0
37,229,218,6.4142,0
38,230,33,4.4142,0
39,233,195,12.3137,0
40,233,234,11.8284,0
41,233,311,16.8995,0
42,236,48,7.8284,0
43,237,224,20.3848,0
44,237,299,30.0416,0
45,244,208,18.9706,0
46,244,259,4.8284,0
47,246,157,5.8284,0
48,249,107,23.8995,0
49,255,128,4.8284,0
50,254,124,3.8284,0
51,249,127,2.4142,0
52,251,184,6.8284,0
53,253,254,18.5563,0
54,255,162,7.8284,0
55,259,227,6.8284,0
56,260,114,11.6569,0
57,262,178,5,0
58,263,127,12.2426,0
59,266,199,5.4142,0
60,267,38,4.4142,0
61,275,197,5.8284,0
62,283,104,3.8284,0
63,284,226,14.2426,0
