 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,32,259,51.8701,64.6274
2,78,197,4.4142,309.5513
3,150,242,32.4853,215.0244
4,119,223,16.2426,195.468
5,106,237,15.2426,0
6,115,110,12.2426,0
7,124,199,6.6569,0
8,127,128,10.6569,0
9,135,149,6.6569,0
10,140,63,26.0416,0
11,151,99,3.8284,0
12,152,85,3.8284,0
13,161,169,28.9706,0
14,163,299,6.6569,0
15,170,83,30.3848,0
16,180,53,10.6569,0
17,184,94,6,0
18,224,115,7.8284,0
19,231,136,4.4142,0
20,254,95,6.4142,0
21,283,155,16.0711,0
22,309,145,5.8284,0
