 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,24,187,4.8284,249.0244
2,41,101,7.2426,319.0071
3,52,103,6.4142,0
4,75,123,3.4142,0
5,78,218,3.4142,0
6,84,170,9.6569,0
7,98,144,3.4142,0
8,101,177,6.4142,0
9,110,149,7.8284,0
10,116,138,8.8284,0
11,124,145,3.4142,0
12,137,140,11.2426,0
13,126,131,7.2426,0
14,136,134,4,0
15,128,183,21.4142,0
16,131,174,5.2426,0
17,151,172,1.4142,0
18,179,245,7.4142,0
19,187,141,2,0
20,194,101,6.4142,0
21,250,151,29.2426,0
22,114,179,25.7279,0
