 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,0,226,2.4142,67.2132
2,1,131,2.4142,57.7279
3,4,85,6.4142,397.8772
4,10,69,2,497.6051
5,17,39,3.8284,206.9239
6,17,158,2,93.598
7,18,85,4.4142,169.7107
8,24,217,16.8995,187.5685
9,25,240,2.4142,112.8406
10,31,28,4.8284,47.1421
11,33,215,10.6569,0
12,33,231,3.4142,0
13,42,130,8.8284,0
14,50,28,2.8284,0
15,62,25,4.8284,0
16,67,4,6.8284,0
17,68,40,3.8284,0
18,76,38,5.2426,0
19,82,26,6.4142,0
20,90,109,5.2426,0
21,95,259,3,0
22,98,251,6.6569,0
23,108,256,5.4142,0
24,102,259,4.4142,0
25,104,1,1,0
26,119,251,3,0
27,120,261,3.4142,0
28,135,203,7.8284,0
29,137,164,8.2426,0
30,145,187,4.8284,0
31,146,195,4.8284,0
32,150,238,4.2426,0
33,152,178,2.8284,0
34,152,311,4.8284,0
35,157,158,17.1421,0
36,158,174,4.8284,0
37,164,178,4,0
38,158,181,3.8284,0
39,159,90,9.2426,0
40,163,93,4.2426,0
41,163,155,9.2426,0
42,170,318,6.2426,0
43,176,129,4.4142,0
44,180,179,3,0
45,181,237,3.8284,0
46,197,122,7,0
47,197,209,2.8284,0
48,204,219,20.0711,0
49,216,128,5.8284,0
50,218,104,16.6569,0
51,223,125,9.6569,0
52,228,183,3.8284,0
53,229,86,7.2426,0
54,229,103,5.2426,0
55,229,172,38.799,0
56,237,197,5.8284,0
57,242,1,4,0
58,253,178,4,0
59,270,195,13.8995,0
60,288,171,8.2426,0
61,289,72,5.2426,0
62,290,148,3.8284,0
63,291,197,8.8284,0
64,297,151,14.2426,0
65,298,107,2.8284,0
