 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,92,239,5.4142,154.0122
2,93,205,3.8284,0
3,98,189,8.4142,0
4,99,216,7.2426,0
5,100,205,3,0
6,105,180,3.8284,0
7,111,171,5.4142,0
8,126,240,5.4142,0
9,118,240,3.4142,0
10,120,237,2.4142,0
11,126,175,6,0
12,137,175,7.2426,0
13,137,186,6.8284,0
14,160,272,17.0711,0
15,137,275,11.8995,0
16,146,262,5.4142,0
17,152,200,9.2426,0
18,152,256,12.2426,0
19,155,205,18.8995,0
20,157,248,5.4142,0
21,162,277,5.2426,0
22,162,287,3.8284,0
23,165,208,16.3137,0
24,165,216,15.2426,0
25,165,240,3.8284,0
26,169,233,12.8995,0
27,170,221,15.2426,0
28,171,259,4,0
29,175,208,2.8284,0
30,175,247,7.8284,0
31,183,197,22.1421,0
32,204,184,4.2426,0
33,204,189,3.8284,0
34,200,209,8.8284,0
35,188,212,6.6569,0
36,188,212,5.2426,0
37,185,213,3.4142,0
