 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,23,93,1,72.1127
2,30,253,11.4142,863.6417
3,45,156,8.2426,45.0711
4,50,151,9.2426,49.9706
5,51,224,7.6569,422.2203
6,54,209,15.3137,63.1421
7,58,39,4.8284,0
8,60,99,11.4142,0
9,61,219,7.2426,0
10,63,196,1,0
11,65,127,9.4142,0
12,67,58,6.2426,0
13,74,192,3.4142,0
14,76,50,1.4142,0
15,77,89,4,0
16,87,49,6.8284,0
17,93,296,1,0
18,98,40,2.4142,0
19,110,145,17.3137,0
20,115,130,7.6569,0
21,113,137,2.4142,0
22,114,146,3.8284,0
23,116,171,9.6569,0
24,116,186,16.7279,0
25,118,31,18.6569,0
26,122,143,7.6569,0
27,125,317,14.6569,0
28,128,264,8.2426,0
29,140,169,8.8284,0
30,130,167,4.8284,0
31,130,174,3.8284,0
32,138,41,5,0
33,157,211,4.8284,0
34,176,245,4.8284,0
35,210,247,25.9706,0
36,241,239,1,0
37,305,285,7.2426,0
38,305,301,5.2426,0
39,318,16,4.4142,0
