 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,99,170,3.4142,302.1371
2,107,162,4.4142,0
3,124,194,10.0711,0
4,135,135,8.6569,0
5,140,210,7.2426,0
6,151,219,10.6569,0
7,164,220,6.4142,0
8,165,104,18.4142,0
9,175,109,13.8284,0
10,181,112,7.4142,0
11,184,127,3.4142,0
12,185,112,5.4142,0
